artifact_row_index,source_id,city,district,support,tier,address_text
167812,7356695,casablanca,hay idrissia,9,SAFE_5,Hay Idrissia à Casablanca
167814,7356986,fes,champ de course,17,SAFE_10,Champ de course à Fès
167815,7357034,rabat,diour jamaa,38,SAFE_25,Diour Jamaa à Rabat
167823,7357445,casablanca,port,20,SAFE_10,Port à Casablanca
167832,7357645,marrakech,hivernage,273,SAFE_25,Hivernage à Marrakech
167836,7358276,casablanca,les hopitaux,385,SAFE_25,Les Hôpitaux à Casablanca
167837,7358407,tanger,iberie,173,SAFE_25,Iberie à Tanger
167840,7358580,marrakech,massira 3,21,SAFE_10,Massira 3 à Marrakech
167842,7358676,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167845,7359992,casablanca,nassim 1,64,SAFE_25,Nassim 1 à Casablanca
167847,7360371,casablanca,anfa,374,SAFE_25,Anfa à Casablanca
167848,7360392,casablanca,racine,596,SAFE_25,Racine à Casablanca
167850,7360419,mohammedia,la siesta,62,SAFE_25,La Siesta à Mohammedia
167852,7360901,tanger,castilla,76,SAFE_25,Castilla à Tanger
167853,7360902,tanger,castilla,76,SAFE_25,Castilla à Tanger
167854,7360904,tanger,castilla,76,SAFE_25,Castilla à Tanger
167860,7361243,essaouira,ghazoua,20,SAFE_10,Ghazoua à Essaouira
167862,7361279,essaouira,ghazoua,20,SAFE_10,Ghazoua à Essaouira
167863,7361287,essaouira,ghazoua,20,SAFE_10,Ghazoua à Essaouira
167866,7361415,tanger,mozart,64,SAFE_25,Mozart à Tanger
167867,7361436,rabat,riyad,566,SAFE_25,Riyad à Rabat
167868,7361479,sale,bettana,16,SAFE_10,Bettana à Salé
167870,7361834,meknes,hamria,152,SAFE_25,Hamria à Meknes
167873,7361927,tanger,administratif,164,SAFE_25,Administratif à Tanger
167875,7362160,casablanca,ferme bretonne hay arraha,189,SAFE_25,Ferme Bretonne (Hay Arraha) à Casablanca
167876,7362197,casablanca,ferme bretonne hay arraha,189,SAFE_25,Ferme Bretonne (Hay Arraha) à Casablanca
167878,7362374,casablanca,la gironde,122,SAFE_25,La Gironde à Casablanca
167879,7362584,marrakech,ennakhil palmeraie,469,SAFE_25,Ennakhil (Palmeraie) à Marrakech
167883,7363209,bouznika,assanaouber,16,SAFE_10,Assanaouber à Bouznika
167884,7363336,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
167885,7363463,agadir,hay houda,65,SAFE_25,Hay Houda à Agadir
167887,7363774,mohammedia,quartier du parc,79,SAFE_25,Quartier du Parc à Mohammedia
167888,7363799,casablanca,mers sultan,170,SAFE_25,Mers Sultan à Casablanca
167889,7363822,marrakech,gueliz,1250,SAFE_25,Guéliz à Marrakech
167890,7363981,marrakech,agdal,514,SAFE_25,Agdal à Marrakech
167894,7365306,casablanca,al hassania,2,LOW,Al Hassania à Casablanca
167896,7365385,sale,sala el jadida,84,SAFE_25,Sala el Jadida à Salé
167900,7366319,casablanca,bourgogne est,157,SAFE_25,Bourgogne Est à Casablanca
167903,7367108,rabat,riyad,566,SAFE_25,Riyad à Rabat
167904,7367113,tanger,de la plage,188,SAFE_25,De La Plage à Tanger
167905,7367184,marrakech,ennakhil palmeraie,469,SAFE_25,Ennakhil (Palmeraie) à Marrakech
167917,7368771,casablanca,racine,596,SAFE_25,Racine à Casablanca
167921,7369929,mohammedia,al aalia,51,SAFE_25,Al Aalia à Mohammedia
167927,7370937,el jadida,derb ghalef,8,SAFE_5,Derb Ghalef à El Jadida
167934,7371176,sale,hay chmaou,56,SAFE_25,Hay Chmaou à Salé
167935,7371319,marrakech,assif,32,SAFE_25,Assif à Marrakech
167936,7371709,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167937,7371711,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167938,7371712,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167939,7371718,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167940,7371719,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167941,7371721,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167942,7371723,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167943,7371726,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167944,7371727,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167945,7371731,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167946,7371732,tanger,mesnana,96,SAFE_25,Mesnana à Tanger
167948,7371823,casablanca,derb ghalef,98,SAFE_25,Derb Ghalef à Casablanca
167951,7372575,casablanca,casablanca finance city,208,SAFE_25,Casablanca Finance City à Casablanca
167952,7372618,casablanca,racine,596,SAFE_25,Racine à Casablanca
167956,7372915,casablanca,bourgogne ouest,380,SAFE_25,Bourgogne Ouest à Casablanca
167958,7373810,temara,oued eddahab,11,SAFE_10,Oued Eddahab à Temara
167963,7375222,casablanca,racine,596,SAFE_25,Racine à Casablanca
167966,7375532,marrakech,samlalia,132,SAFE_25,Samlalia à Marrakech
167974,7377159,kenitra,bir rami est,42,SAFE_25,Bir Rami Est à Kénitra
167978,7378257,sale,bab sebta,4,LOW,Bab Sebta à Salé
167984,7378737,oujda,andalous,20,SAFE_10,Andalous à Oujda
167987,7379014,sale,sidi hajji,27,SAFE_25,Sidi Hajji à Salé
167988,7379128,casablanca,salmia 2,26,SAFE_25,Salmia 2 à Casablanca
167995,7380896,casablanca,maarif,326,SAFE_25,Maârif à Casablanca
167997,7381267,tanger,marjane,165,SAFE_25,Marjane à Tanger
168009,7383032,temara,riad oulad mtaa,35,SAFE_25,Riad Oulad Mtaa à Temara
168011,7383207,tanger,de la plage,188,SAFE_25,De La Plage à Tanger
168012,7383245,tanger,boukhalef,98,SAFE_25,Boukhalef à Tanger
168016,7384357,casablanca,les princesses,332,SAFE_25,Les princesses à Casablanca
168018,7384813,casablanca,val fleury,190,SAFE_25,Val Fleury à Casablanca
168021,7385443,casablanca,roches noires,198,SAFE_25,Roches Noires à Casablanca
168023,7385668,marrakech,route casablanca,269,SAFE_25,Route Casablanca à Marrakech
168024,7385690,kenitra,maamora,58,SAFE_25,Maamora à Kénitra
168032,7387112,casablanca,belvedere,301,SAFE_25,Belvédère à Casablanca
168033,7387132,casablanca,beausite,41,SAFE_25,Beausite à Casablanca
168034,7387188,casablanca,gauthier,422,SAFE_25,Gauthier à Casablanca
168039,7387463,tanger,ahlane,96,SAFE_25,Ahlane à Tanger
168045,7388359,casablanca,belvedere,301,SAFE_25,Belvédère à Casablanca
168047,7388474,agadir,assaka,5,SAFE_5,Assaka à Agadir
168052,7389016,tanger,castilla,76,SAFE_25,Castilla à Tanger
168055,7389411,marrakech,sanaoubar,15,SAFE_10,Sanaoubar à Marrakech
168056,7389412,bouznika,hamza,21,SAFE_10,Hamza à Bouznika
168062,7390294,casablanca,maarif extension,351,SAFE_25,Maârif Extension à Casablanca
168067,7391308,casablanca,ain sebaa,344,SAFE_25,Aïn Sebaâ à Casablanca
