artifact_row_index,source_id,district
167212,7234112,bouskoura ville
167214,7234221,les hopitaux
167220,7235333,oulfa
167221,7235539,al bassatine
167223,7235542,al bassatine
167224,7235544,al bassatine
167238,7237211,marrakech
167240,7238180,route de l ourika
167241,7238630,saidia
167244,7240155,centre ville
167245,7240159,centre ville
167246,7240163,centre ville
167247,7240213,anfa
167249,7240791,roches noires
167250,7240811,roches noires
167251,7240823,roches noires
167253,7241122,fonciere
167254,7241182,essaouira
167255,7241213,route de safi
167256,7243056,ben saleh
167259,7244179,anfa superieur
167265,7245062,les hopitaux
167272,7246784,ouarzazate
167280,7249685,agdal
167282,7250114,el mansouria
167285,7250800,hay albaraka
167287,7251236,californie
167291,7251450,wilaya
167292,7251451,wilaya
167293,7251453,wilaya
167296,7251667,mhamid
167297,7251707,wilaya
167298,7252136,al aalia
167299,7252216,route de l ourika
167300,7252397,hassan centre ville
167302,7253438,route nationale assilah n1
167304,7253775,mers el kheir
167311,7255009,dar bouazza
167315,7255994,tiznit
167319,7257174,iberie
167321,7257394,hivernage
167322,7257674,route de tahanaout
167323,7257988,larache
167325,7258334,californie
167328,7258654,mers sultan
167337,7261354,ras el ma
167338,7261580,riyad
167339,7261590,chichaoua
167340,7261667,sidi rahal
167343,7262117,ait ourir
167348,7263311,bouskoura ville
167350,7263517,gauthier
167353,7265371,centre
167355,7265710,laymoune
167357,7265994,sidi abdallah ghiat
167359,7266549,polo
167360,7266797,laymoune
167362,7267656,anfa
167365,7268052,tetouan
167368,7268536,aghbala
167369,7268685,les hopitaux
167370,7268698,les hopitaux
167372,7269698,gueliz
167374,7269894,tanger city center
167376,7270268,californie
167377,7270407,hoda
167378,7270469,hay targa
167385,7271449,souissi
167389,7271870,bouskoura ville
167396,7274169,abbadi
167402,7275172,dar bouazza
167405,7276866,bernoussi
167406,7276867,bernoussi
167407,7276868,bernoussi
167408,7276869,bernoussi
167409,7276870,bernoussi
167410,7276872,bernoussi
167411,7276873,bernoussi
167412,7276874,bernoussi
167413,7276877,bernoussi
167414,7276878,bernoussi
167415,7276879,bernoussi
167416,7276881,bernoussi
167417,7277112,sidi hajji
167423,7278781,tetouan
167426,7278962,de la plage
167431,7280204,route de fez
167432,7280365,belvedere
167434,7280502,riyad
167435,7280521,riad essalam
167436,7280716,dar bouazza
167438,7281357,ville verte
167439,7281497,ain diab
167441,7281855,ferme bretonne hay arraha
167443,7282627,les hopitaux
167448,7283265,zone industrielle saniat sbihi
167449,7283752,sidi moussa lhamri
167456,7284454,bernoussi
167457,7284455,bernoussi
167460,7286617,bella vista
167464,7287145,fnideq
167467,7287274,ennakhil palmeraie
167470,7287871,route de l ourika
167472,7288274,nouaceur
167475,7288924,route de tahanaout
167477,7289279,anfa superieur
167479,7290337,anfa superieur
167480,7290395,ain diab
167481,7290489,ennakhil palmeraie
167485,7291042,malabata
167486,7291140,ain el hayani
167493,7292664,achakar
167501,7294485,sefrou
167507,7295143,cente
167511,7295975,dar assalam
167514,7297562,mers el kheir
167517,7298484,route de l ourika
167518,7298485,marrakech
167520,7299221,hay mesk lil
167521,7299438,medina
167522,7299456,medina
167524,7300424,centre ville
167525,7300426,corniche
167526,7300428,centre ville
167527,7300434,derb sid daoui
167528,7300440,corniche
167529,7300492,ain sebaa
167531,7300825,corniche
167532,7300829,corniche
167533,7300888,assif
167542,7301822,el manar el hank
167543,7301861,ferme bretonne hay arraha
167547,7302219,jawhara
167549,7302547,agdal
167552,7302678,bourgogne ouest
167553,7302936,bourgogne ouest
167554,7302937,riyad
167557,7303222,route d agadir
167558,7303242,massira 2
167559,7303246,massira 2
167561,7303256,massira 2
167565,7303616,wafa
167567,7304125,corniche
167568,7304128,corniche
167569,7304138,corniche
167574,7304584,marrakech
167576,7304830,californie
167577,7305368,hamria
167585,7307344,maamora
167586,7307428,de la plage
167592,7309097,hay nahda
167593,7309105,bernoussi
167598,7310251,mouassine
167599,7310299,amelkis
167603,7311887,administratif
167604,7311945,centre ville
167608,7312714,medina
167609,7312828,oasis
167614,7313612,dar bouazza
167616,7313836,haut agdal
167618,7313887,al bassatine
167624,7315044,essaouira
167625,7315723,californie
167626,7315997,route amizmiz
167630,7316824,essaouira
167633,7317329,route de marrakech
167635,7318502,hay hassani
167642,7319709,route de l ourika
167646,7321333,el hadadda
167648,7322138,tamesna
167649,7322358,bourgogne est
167652,7323091,gueliz
167654,7323122,route d agadir
167656,7323603,casablanca marina
167661,7324009,tit mellil
167662,7324089,maarif
167668,7324787,hay el bouwab
167677,7325659,anfa
167681,7326617,hay targa
167685,7326954,hivernage
167688,7327609,plage oued cherrat
167693,7328626,casablanca finance city
167697,7329004,hay mesk lil
167700,7329494,bouskoura ville
167701,7330260,mers el kheir
167705,7330762,founti
167709,7331654,riviera
167712,7332162,riyad
167713,7332226,maamora
167722,7334060,sidi bibi
167723,7335136,californie
167725,7335536,sidi belyout
167726,7335984,souissi
167727,7336012,route amizmiz
167729,7336235,oasis sud
167732,7336739,azemmour
167733,7336747,route amizmiz
167735,7337027,californie
167736,7337059,kenitra
167741,7338964,dar bouazza
167742,7339230,ancien combatant
167743,7339297,hay zitoune
167744,7339452,route de ceuta
167745,7339503,medina
167749,7341219,centre ville
167750,7341244,route de fez
167755,7342328,riyad
167756,7342443,route de ouarzazate
167764,7345412,californie
167767,7345930,ville verte
167769,7345999,assif
167770,7346001,wilaya
167775,7348673,dar bouazza
167776,7348797,hivernage
167787,7351467,ain diab extension
167788,7351563,maarif
167795,7353041,tamesna
167798,7354622,cabo negro
167799,7354651,marrakech
167800,7354652,marrakech
167807,7355898,racine extension
167809,7356414,de la plage
167810,7356522,souissi
167811,7356601,ain diab
167817,7357197,beausejour
167819,7357347,amelkis
167820,7357404,ennakhil palmeraie
167821,7357414,route de ouarzazate
167822,7357432,amelkis
167825,7357460,route de l ourika
167826,7357469,marrakech
167827,7357484,route de l ourika
167828,7357496,ennakhil palmeraie
167829,7357515,marrakech
167830,7357561,amelkis
167831,7357591,route de fez
167835,7357847,tetouan
167843,7359026,had soualem
167851,7360655,triangle d or
167855,7360906,castilla
167856,7360912,castilla
167857,7360917,castilla
167858,7360920,castilla
167861,7361262,racine
167869,7361821,al aalia
167871,7361893,riyad
167874,7361933,californie
167877,7362299,riyad
167882,7363168,riyad
167886,7363617,bouskoura ville
167891,7364016,sidi rahal
167892,7364588,zenata
167895,7365356,ain sebaa
167897,7365424,riyad
167898,7365435,polo
